file,emotion,text,speaker
../dataset/IEMOCAP/wav/Ses01F_impro01_F001.wav,e0,YEAH .,01F
../dataset/IEMOCAP/wav/Ses01F_impro01_F005.wav,e0,WELL WHAT'S  THE PROBLEM LET ME CHANGE IT .,01F
../dataset/IEMOCAP/wav/Ses01F_impro01_F012.wav,e2,THAT'S OUT OF CONTROL .,01F
../dataset/IEMOCAP/wav/Ses01F_impro01_F014.wav,e0,CLEARLY . YOU KNOW DO YOU HAVE LIKE A SUPERVISOR OR SOMETHING .,01F
../dataset/IEMOCAP/wav/Ses01F_impro01_M011.wav,e2,I  DON'T UNDERSTAND WHY THIS IS SO COMPLICATED FOR PEOPLE WHEN THEY GET HERE . IT'S JUST A SIMPLE FORM I JUST NEED AN ID .,01F
../dataset/IEMOCAP/wav/Ses01F_impro01_M013.wav,e2,YEAH  DO YOU  WANT . TO SEE MY SUPERVISOR HUH YEAH DO YOU WANT TO SEE MY SUPERVISOR FINE I'LL BE RIGHT BACK .,01F
../dataset/IEMOCAP/wav/Ses01F_impro02_F000.wav,e3,DID YOU GET THE MAIL SO YOU SAW MY LETTER .,01F
../dataset/IEMOCAP/wav/Ses01F_impro02_F002.wav,e3,I DON'T KNOW I . PUT IN THAT REQUEST TOO THEY DIDN'T .,01F
../dataset/IEMOCAP/wav/Ses01F_impro02_F003.wav,e0,I GUESS YOU KNOW EVERYBODY HAS TO MAKE . SACRIFICES .,01F
../dataset/IEMOCAP/wav/Ses01F_impro02_F004.wav,e3,THERE'S PEOPLE THAT HAVE GIVEN MORE THOUGH . YOU KNOW .,01F
../dataset/IEMOCAP/wav/Ses01F_impro02_F005.wav,e3,I KNOW .,01F
../dataset/IEMOCAP/wav/Ses01F_impro02_F006.wav,e0,THERE'S BABIES OVER THERE THOUGH  THAT NEED MOTHERS .,01F
../dataset/IEMOCAP/wav/Ses01F_impro02_F008.wav,e3,JUST YOU KNOW KICKING MYSELF .,01F
../dataset/IEMOCAP/wav/Ses01F_impro02_F010.wav,e3,THINGS JUST AREN'T WHAT THEY SEEM .,01F
../dataset/IEMOCAP/wav/Ses01F_impro02_F012.wav,e3,IF NOT ME THEN WHO .,01F
../dataset/IEMOCAP/wav/Ses01F_impro02_F013.wav,e3,YOU'LL VIDEOTAPE EVERYTHING YEAH .,01F
../dataset/IEMOCAP/wav/Ses01F_impro02_F014.wav,e3,MAYBE YOU . CAN . SEND IT TO ME LIKE . STREAM IT YEAH .,01F
../dataset/IEMOCAP/wav/Ses01F_impro02_F015.wav,e3,LAST MONTH YEAH .,01F
../dataset/IEMOCAP/wav/Ses01F_impro02_F016.wav,e0,I HAVE TO FIND SITTERS .,01F
../dataset/IEMOCAP/wav/Ses01F_impro02_F017.wav,e3,WE'VE GOT FRIENDS THAT'S WHY WE MOVED . HERE . HUH  BECAUSE THERE . IS A DAY CARE DOWN THE STREET .,01F
../dataset/IEMOCAP/wav/Ses01F_impro02_F018.wav,e0,AND YOUR MOTHER IS CLOSE BY .,01F
../dataset/IEMOCAP/wav/Ses01F_impro02_F019.wav,e3,I'LL SEND YOU LOTS OF LETTERS .,01F
../dataset/IEMOCAP/wav/Ses01F_impro02_F020.wav,e3,AND I WANT LOTS AND LOTS AND LOTS OF PICTURES .,01F
../dataset/IEMOCAP/wav/Ses01F_impro02_M001.wav,e3,I DON'T UNDERSTAND YOU'VE ALREADY DONE SO MUCH I DON'T KNOW WHY DO YOU HAVE TO GO BACK .,01F
../dataset/IEMOCAP/wav/Ses01F_impro02_M005.wav,e3,I DON'T KNOW HOW YOU CAN BE OKAY WITH THIS I DON'T KNOW WHY YOU'RE NOT . YOU'RE FINE WITH IT .,01F
../dataset/IEMOCAP/wav/Ses01F_impro02_M009.wav,e3,I JUST DON'T SEE WHY IT HAS TO BE YOU .,01F
../dataset/IEMOCAP/wav/Ses01F_impro02_M010.wav,e3,WHAT AM I GOING TO DO HUH .,01F
../dataset/IEMOCAP/wav/Ses01F_impro02_M012.wav,e0,DON'T YOU GUYS HAVE ACCESS TO COMPUTERS OVER THERE .,01F
../dataset/IEMOCAP/wav/Ses01F_impro02_M013.wav,e3,I JUST DON'T KNOW HOW I'M GOING TO DO IT WITHOUT YOU .,01F
../dataset/IEMOCAP/wav/Ses01F_impro02_M015.wav,e0,I KNOW .,01F
../dataset/IEMOCAP/wav/Ses01F_impro03_F000.wav,e1,WELL . VEGAS WAS AWESOME .,01F
../dataset/IEMOCAP/wav/Ses01F_impro03_F001.wav,e1,AND UM I GOT MARRIED .,01F
../dataset/IEMOCAP/wav/Ses01F_impro03_F002.wav,e1,YEAH  IN THE OLD TOWN PART .,01F
../dataset/IEMOCAP/wav/Ses01F_impro03_F004.wav,e1,UM . YES . IT  WAS VERY ROMANTIC .,01F
../dataset/IEMOCAP/wav/Ses01F_impro03_F005.wav,e1,IT WAS AT THE SLOT MACHINES .,01F
../dataset/IEMOCAP/wav/Ses01F_impro03_F006.wav,e1,UHUH UHUH HE WON BIG AND HE AND HE REALIZED THAT THE ONLY THING THAT WOULD MAKE IT BETTER WAS  ME AS HIS BRIDE .,01F
../dataset/IEMOCAP/wav/Ses01F_impro03_F008.wav,e1,YEAH . WELL . YOU KNOW BECAUSE HE'S LEAVING THE NEXT DAY .,01F
../dataset/IEMOCAP/wav/Ses01F_impro03_F009.wav,e1,BUT WE'RE GOING TO HAVE A HONEYMOON CRUISE .,01F
../dataset/IEMOCAP/wav/Ses01F_impro03_F010.wav,e1,OH . I HADN'T EVEN THOUGHT ABOUT THAT .,01F
../dataset/IEMOCAP/wav/Ses01F_impro03_F012.wav,e1,OH TOTALLY .,01F
../dataset/IEMOCAP/wav/Ses01F_impro03_F013.wav,e1,I GUESS I'LL I GUESS I'LL HAVE AN INTERNET HUSBAND  {LG} .,01F
../dataset/IEMOCAP/wav/Ses01F_impro03_F015.wav,e1,YEAH . SO . {LG} . HE'S CALLING ME NOW .,01F
../dataset/IEMOCAP/wav/Ses01F_impro03_F016.wav,e1,HE LIKES TO KEEP TABS . YOU KNOW .,01F
../dataset/IEMOCAP/wav/Ses01F_impro03_F017.wav,e0,UH . I  THINK SEVEN HUNDRED AND FIFTY DOLLARS .,01F
../dataset/IEMOCAP/wav/Ses01F_impro03_F018.wav,e0,PENNY SLOTS  THAT'S WHAT HE PLAYS .,01F
../dataset/IEMOCAP/wav/Ses01F_impro03_F019.wav,e0,YEAH .,01F
../dataset/IEMOCAP/wav/Ses01F_impro03_F021.wav,e1,YEAH . WE PLAYED WHEEL OF FORTUNE PENNIES . IT'S LIKE A GIANT THING WITH LIKE .,01F
../dataset/IEMOCAP/wav/Ses01F_impro03_F022.wav,e0,FIFTY BUCKS MMHMM .,01F
../dataset/IEMOCAP/wav/Ses01F_impro03_F023.wav,e0,YEAH .,01F
../dataset/IEMOCAP/wav/Ses01F_impro03_F024.wav,e1,WELL SO NOW WE'RE MARRIED  WE  HAVE CAT CHILDREN .,01F
../dataset/IEMOCAP/wav/Ses01F_impro03_F025.wav,e1,WE RENAMED BRENDA  LUMBER JANET .,01F
../dataset/IEMOCAP/wav/Ses01F_impro03_F026.wav,e1,SHE NEEDS A NEW NAME EACH STATE THAT WE GO INTO  {LG} .,01F
../dataset/IEMOCAP/wav/Ses01F_impro03_M000.wav,e0,SO WHAT'S UP WHAT'S NEW .,01F
../dataset/IEMOCAP/wav/Ses01F_impro03_M001.wav,e0,YEAH I HEARD .,01F
../dataset/IEMOCAP/wav/Ses01F_impro03_M003.wav,e1,WHO DID YOU  MARRY .,01F
../dataset/IEMOCAP/wav/Ses01F_impro03_M006.wav,e0,HE TURNED TO YOU AND WAS LIKE .,01F
../dataset/IEMOCAP/wav/Ses01F_impro03_M007.wav,e1,{LG} THAT'S REALLY ROMANTIC .,01F
